iter	Logloss
334	0.09165617451
335	0.09127453776
336	0.09095678432
337	0.09033626872
338	0.09005248242
339	0.08946851589
340	0.08925725698
341	0.0892298557
342	0.08871863384
343	0.08844604331
344	0.0884090328
345	0.0881595205
346	0.08789047089
347	0.08721209682
348	0.08668276138
349	0.08639395907
350	0.0862600802
351	0.08563115217
352	0.08520195477
353	0.08503727162
354	0.08480677124
355	0.08446583436
356	0.08440990855
357	0.0840497823
358	0.08362235998
359	0.08316134925
360	0.08268839227
361	0.08239288983
362	0.08224672687
363	0.08217650984
364	0.0818209964
365	0.08124162077
366	0.08113942072
367	0.08062073791
368	0.08021853363
369	0.07978187765
370	0.07942876284
371	0.07925532648
372	0.07917664467
373	0.07873073931
374	0.07848552982
375	0.07832405299
376	0.07792700009
377	0.07790563919
378	0.07769668946
379	0.07710489684
380	0.07675215841
381	0.07652015761
382	0.07642190219
383	0.07637114028
384	0.07600396438
385	0.07551756746
386	0.07533335525
387	0.07491134559
388	0.07481670516
389	0.07426622875
390	0.07379317533
391	0.07360089258
392	0.07330377574
393	0.07316029657
394	0.07279919088
395	0.07265322309
396	0.07232536276
397	0.07222834049
398	0.0721210628
399	0.07172500377
